Time,Interior Temp,Exterior Temp,Relative Humidity,Air Pressure,Acceleration (X),Acceleration (Z)
1,37.01,36.13,37.57,12.26,1.028,0.362
2,36.13,36.13,37.57,12.26,1.013,0.347
3,36.13,36.13,37.42,12.27,0.998,0.347
4,36.13,36.13,37.42,12.26,1.013,0.347
5,35.26,36.13,37.89,12.26,1.013,0.347
6,35.26,36.13,37.26,12.26,1.013,0.347
7,36.13,36.13,37.57,12.26,1.028,0.362
8,35.26,36.13,37.89,12.26,1.043,0.362
9,35.26,36.13,37.73,12.26,1.028,0.347
10,36.13,36.13,37.89,12.26,1.028,0.362
11,36.13,36.13,37.57,12.26,1.028,0.362
12,36.13,36.13,37.73,12.26,1.013,0.362
13,36.13,36.13,37.57,12.26,1.013,0.347
14,36.13,36.13,37.57,12.26,1.028,0.347
15,36.13,36.13,37.89,12.26,1.028,0.347
16,37.01,36.13,37.57,12.26,1.028,0.362
17,36.13,36.13,38.05,12.26,1.028,0.362
18,35.26,36.13,37.42,12.26,1.028,0.362
19,37.01,36.13,37.73,12.26,1.028,0.362
20,35.26,36.13,37.73,12.26,1.013,0.347
21,36.13,36.13,37.26,12.26,0.998,0.362
22,36.13,36.13,37.57,12.26,1.013,0.347
23,35.26,36.13,37.42,12.26,0.998,0.347
24,35.26,36.13,37.73,12.26,1.013,0.347
25,36.13,36.13,37.89,12.24,1.013,0.347
26,36.13,36.13,37.57,12.24,1.028,0.362
27,36.13,36.13,37.73,12.26,1.028,0.362
28,36.13,36.13,37.73,12.26,1.013,0.347
29,36.13,36.13,37.89,12.26,1.043,0.362
30,35.26,36.13,37.42,12.26,1.028,0.347
31,35.26,36.13,37.57,12.26,1.028,0.362
32,36.13,36.13,37.73,12.26,1.013,0.362
33,37.01,36.13,37.26,12.26,1.013,0.362
34,36.13,36.13,37.73,12.26,1.028,0.347
35,36.13,36.13,37.73,12.26,1.013,0.362
36,36.13,36.13,37.73,12.26,1.013,0.362
37,36.13,36.13,37.26,12.26,1.028,0.362
38,36.13,36.13,37.73,12.26,1.028,0.347
39,36.13,36.13,37.73,12.26,1.028,0.362
40,36.13,36.13,37.73,12.26,1.013,0.347
41,35.26,36.13,37.57,12.26,1.028,0.347
42,36.13,36.13,37.73,12.26,1.013,0.347
43,37.01,36.13,37.57,12.26,0.998,0.332
44,35.26,36.13,37.73,12.24,1.013,0.347
45,37.01,36.13,37.42,12.26,1.028,0.362
46,35.26,36.13,37.26,12.26,1.028,0.362
47,36.13,36.13,37.57,12.26,1.028,0.362
48,35.26,36.13,37.73,12.26,1.013,0.362
49,36.13,36.13,37.26,12.26,1.013,0.347
50,36.13,36.13,37.89,12.26,1.013,0.347
51,36.13,36.13,37.73,12.26,1.013,0.362
52,36.13,36.13,37.42,12.26,1.028,0.347
